test,city,association,vintage,bin,n,median_depth,median_implied,vintage_median_depth,p68_abs_resid
T1,paterson,per-pano,2025,"(-0.40, -0.15]",399,1.657,1.835,1.862,
T1,paterson,per-pano,2025,"(-0.15, +0.15)",4555,1.87,1.983,1.862,
T1,paterson,per-pano,2025,"[+0.15, +0.40)",168,2.032,2.068,1.862,
T1,paterson,per-pano,2025,>= +0.40,3,2.332,2.354,1.862,
T1,paterson,2.3,2018,<= -0.40,8,1.877,2.443,2.348,
T1,paterson,2.3,2018,"(-0.40, -0.15]",41,2.074,2.534,2.348,
T1,paterson,2.3,2018,"(-0.15, +0.15)",400,2.366,2.514,2.348,
T1,paterson,2.3,2018,"[+0.15, +0.40)",0,,,2.348,
T1,paterson,2.3,2018,>= +0.40,0,,,2.348,
T1,paterson,2.3,2019,<= -0.40,2,1.882,2.547,2.373,
T1,paterson,2.3,2019,"(-0.40, -0.15]",29,2.191,2.385,2.373,
T1,paterson,2.3,2019,"(-0.15, +0.15)",415,2.393,2.506,2.373,
T1,paterson,2.3,2019,"[+0.15, +0.40)",0,,,2.373,
T1,paterson,2.3,2019,>= +0.40,0,,,2.373,
T1,paterson,2.3,2020,<= -0.40,9,1.818,2.453,2.349,
T1,paterson,2.3,2020,"(-0.40, -0.15]",65,2.145,2.492,2.349,
T1,paterson,2.3,2020,"(-0.15, +0.15)",848,2.358,2.485,2.349,
T1,paterson,2.3,2020,"[+0.15, +0.40)",1,2.499,2.584,2.349,
T1,paterson,2.3,2020,>= +0.40,0,,,2.349,
T1,paterson,2.3,2021,<= -0.40,8,1.89,2.463,2.347,
T1,paterson,2.3,2021,"(-0.40, -0.15]",34,2.157,2.48,2.347,
T1,paterson,2.3,2021,"(-0.15, +0.15)",528,2.364,2.491,2.347,
T1,paterson,2.3,2021,"[+0.15, +0.40)",1,2.497,2.645,2.347,
T1,paterson,2.3,2021,>= +0.40,0,,,2.347,
T1,paterson,2.3,2024,<= -0.40,28,1.904,2.42,2.374,
T1,paterson,2.3,2024,"(-0.40, -0.15]",189,2.158,2.51,2.374,
T1,paterson,2.3,2024,"(-0.15, +0.15)",2300,2.386,2.528,2.374,
T1,paterson,2.3,2024,"[+0.15, +0.40)",0,,,2.374,
T1,paterson,2.3,2024,>= +0.40,0,,,2.374,
T1,paterson,2.3,2025,<= -0.40,43,1.37,2.046,1.862,
T1,paterson,2.3,2025,"(-0.40, -0.15]",329,1.658,2.069,1.862,
T1,paterson,2.3,2025,"(-0.15, +0.15)",4344,1.874,2.044,1.862,
T1,paterson,2.3,2025,"[+0.15, +0.40)",168,2.032,2.096,1.862,
T1,paterson,2.3,2025,>= +0.40,3,2.332,2.354,1.862,
T4,paterson,per-pano,all,Q1 0.000-0.044,2544,,,,0.2402
T4,paterson,2.3,all,Q1 0.000-0.044,2470,,,,0.2257
T4,paterson,per-pano,all,Q2 0.044-0.102,2544,,,,0.24
T4,paterson,2.3,all,Q2 0.044-0.103,2470,,,,0.2382
T4,paterson,per-pano,all,Q3 0.103-0.171,2544,,,,0.2337
T4,paterson,2.3,all,Q3 0.103-0.171,2470,,,,0.2352
T4,paterson,per-pano,all,Q4 0.171-1.088,2544,,,,0.2644
T4,paterson,2.3,all,Q4 0.171-1.088,2470,,,,0.2788
T1,gainesville,per-pano,2022,<= -0.40,2,1.713,2.42,2.275,
T1,gainesville,per-pano,2022,"(-0.40, -0.15]",26,2.04,2.407,2.275,
T1,gainesville,per-pano,2022,"(-0.15, +0.15)",243,2.308,2.459,2.275,
T1,gainesville,per-pano,2022,"[+0.15, +0.40)",31,2.454,2.48,2.275,
T1,gainesville,per-pano,2022,>= +0.40,0,,,2.275,
T1,gainesville,per-pano,2023,<= -0.40,4,1.869,2.562,2.3,
T1,gainesville,per-pano,2023,"(-0.40, -0.15]",43,2.101,2.432,2.3,
T1,gainesville,per-pano,2023,"(-0.15, +0.15)",299,2.338,2.471,2.3,
T1,gainesville,per-pano,2023,"[+0.15, +0.40)",36,2.464,2.568,2.3,
T1,gainesville,per-pano,2023,>= +0.40,0,,,2.3,
T1,gainesville,per-pano,2024,<= -0.40,11,1.732,2.315,2.314,
T1,gainesville,per-pano,2024,"(-0.40, -0.15]",89,2.09,2.432,2.314,
T1,gainesville,per-pano,2024,"(-0.15, +0.15)",733,2.347,2.493,2.314,
T1,gainesville,per-pano,2024,"[+0.15, +0.40)",75,2.48,2.538,2.314,
T1,gainesville,per-pano,2024,>= +0.40,0,,,2.314,
T1,gainesville,per-pano,2025,<= -0.40,1,1.325,2.095,2.287,
T1,gainesville,per-pano,2025,"(-0.40, -0.15]",36,2.068,2.451,2.287,
T1,gainesville,per-pano,2025,"(-0.15, +0.15)",272,2.305,2.451,2.287,
T1,gainesville,per-pano,2025,"[+0.15, +0.40)",39,2.465,2.455,2.287,
T1,gainesville,per-pano,2025,>= +0.40,0,,,2.287,
T1,gainesville,per-pano,2026,<= -0.40,231,1.258,1.696,1.761,
T1,gainesville,per-pano,2026,"(-0.40, -0.15]",578,1.529,1.833,1.761,
T1,gainesville,per-pano,2026,"(-0.15, +0.15)",3845,1.796,1.92,1.761,
T1,gainesville,per-pano,2026,"[+0.15, +0.40)",816,1.951,2.005,1.761,
T1,gainesville,per-pano,2026,>= +0.40,16,2.227,2.045,1.761,
T1,gainesville,2.3,2022,<= -0.40,2,1.713,2.42,2.275,
T1,gainesville,2.3,2022,"(-0.40, -0.15]",26,2.033,2.438,2.275,
T1,gainesville,2.3,2022,"(-0.15, +0.15)",241,2.308,2.459,2.275,
T1,gainesville,2.3,2022,"[+0.15, +0.40)",31,2.454,2.48,2.275,
T1,gainesville,2.3,2022,>= +0.40,0,,,2.275,
T1,gainesville,2.3,2023,<= -0.40,4,1.869,2.492,2.3,
T1,gainesville,2.3,2023,"(-0.40, -0.15]",44,2.1,2.441,2.3,
T1,gainesville,2.3,2023,"(-0.15, +0.15)",295,2.337,2.461,2.3,
T1,gainesville,2.3,2023,"[+0.15, +0.40)",34,2.463,2.538,2.3,
T1,gainesville,2.3,2023,>= +0.40,0,,,2.3,
T1,gainesville,2.3,2024,<= -0.40,16,1.789,2.548,2.314,
T1,gainesville,2.3,2024,"(-0.40, -0.15]",93,2.084,2.492,2.314,
T1,gainesville,2.3,2024,"(-0.15, +0.15)",735,2.346,2.49,2.314,
T1,gainesville,2.3,2024,"[+0.15, +0.40)",76,2.48,2.489,2.314,
T1,gainesville,2.3,2024,>= +0.40,0,,,2.314,
T1,gainesville,2.3,2025,<= -0.40,3,1.325,2.666,2.287,
T1,gainesville,2.3,2025,"(-0.40, -0.15]",40,2.069,2.499,2.287,
T1,gainesville,2.3,2025,"(-0.15, +0.15)",272,2.305,2.453,2.287,
T1,gainesville,2.3,2025,"[+0.15, +0.40)",38,2.465,2.461,2.287,
T1,gainesville,2.3,2025,>= +0.40,0,,,2.287,
T1,gainesville,2.3,2026,<= -0.40,272,1.248,2.011,1.761,
T1,gainesville,2.3,2026,"(-0.40, -0.15]",561,1.526,2.018,1.761,
T1,gainesville,2.3,2026,"(-0.15, +0.15)",3584,1.798,2.028,1.761,
T1,gainesville,2.3,2026,"[+0.15, +0.40)",815,1.952,2.045,1.761,
T1,gainesville,2.3,2026,>= +0.40,16,2.227,2.094,1.761,
T4,gainesville,per-pano,all,Q1 0.000-0.004,1913,,,,0.2933
T4,gainesville,2.3,all,Q1 0.000-0.004,1861,,,,0.3284
T4,gainesville,per-pano,all,Q2 0.004-0.044,1913,,,,0.2852
T4,gainesville,2.3,all,Q2 0.004-0.044,1861,,,,0.3171
T4,gainesville,per-pano,all,Q3 0.044-0.099,1913,,,,0.2925
T4,gainesville,2.3,all,Q3 0.044-0.100,1861,,,,0.3142
T4,gainesville,per-pano,all,Q4 0.099-1.182,1913,,,,0.2825
T4,gainesville,2.3,all,Q4 0.100-1.182,1861,,,,0.297
T1,sao_paulo,per-pano,2023,<= -0.40,12,1.708,2.295,2.264,
T1,sao_paulo,per-pano,2023,"(-0.40, -0.15]",57,2.063,2.361,2.264,
T1,sao_paulo,per-pano,2023,"(-0.15, +0.15)",344,2.286,2.465,2.264,
T1,sao_paulo,per-pano,2023,"[+0.15, +0.40)",66,2.438,2.635,2.264,
T1,sao_paulo,per-pano,2023,>= +0.40,0,,,2.264,
T1,sao_paulo,per-pano,2024,<= -0.40,84,1.736,2.105,2.269,
T1,sao_paulo,per-pano,2024,"(-0.40, -0.15]",351,2.047,2.395,2.269,
T1,sao_paulo,per-pano,2024,"(-0.15, +0.15)",1942,2.289,2.51,2.269,
T1,sao_paulo,per-pano,2024,"[+0.15, +0.40)",297,2.452,2.58,2.269,
T1,sao_paulo,per-pano,2024,>= +0.40,0,,,2.269,
T1,sao_paulo,per-pano,2025,<= -0.40,72,1.718,2.103,2.232,
T1,sao_paulo,per-pano,2025,"(-0.40, -0.15]",300,2.011,2.321,2.232,
T1,sao_paulo,per-pano,2025,"(-0.15, +0.15)",1504,2.247,2.491,2.232,
T1,sao_paulo,per-pano,2025,"[+0.15, +0.40)",364,2.426,2.545,2.232,
T1,sao_paulo,per-pano,2025,>= +0.40,0,,,2.232,
T1,sao_paulo,2.3,2023,<= -0.40,15,1.681,2.576,2.264,
T1,sao_paulo,2.3,2023,"(-0.40, -0.15]",61,2.062,2.516,2.264,
T1,sao_paulo,2.3,2023,"(-0.15, +0.15)",347,2.286,2.472,2.264,
T1,sao_paulo,2.3,2023,"[+0.15, +0.40)",66,2.438,2.589,2.264,
T1,sao_paulo,2.3,2023,>= +0.40,0,,,2.264,
T1,sao_paulo,2.3,2024,<= -0.40,98,1.736,2.496,2.269,
T1,sao_paulo,2.3,2024,"(-0.40, -0.15]",383,2.046,2.505,2.269,
T1,sao_paulo,2.3,2024,"(-0.15, +0.15)",1956,2.288,2.52,2.269,
T1,sao_paulo,2.3,2024,"[+0.15, +0.40)",295,2.452,2.543,2.269,
T1,sao_paulo,2.3,2024,>= +0.40,0,,,2.269,
T1,sao_paulo,2.3,2025,<= -0.40,84,1.702,2.396,2.232,
T1,sao_paulo,2.3,2025,"(-0.40, -0.15]",320,2.009,2.456,2.232,
T1,sao_paulo,2.3,2025,"(-0.15, +0.15)",1519,2.245,2.504,2.232,
T1,sao_paulo,2.3,2025,"[+0.15, +0.40)",362,2.426,2.527,2.232,
T1,sao_paulo,2.3,2025,>= +0.40,0,,,2.232,
T4,sao_paulo,per-pano,all,Q1 0.000-0.053,1489,,,,0.3239
T4,sao_paulo,2.3,all,Q1 0.000-0.054,1518,,,,0.3484
T4,sao_paulo,per-pano,all,Q2 0.053-0.117,1489,,,,0.3558
T4,sao_paulo,2.3,all,Q2 0.054-0.118,1519,,,,0.3658
T4,sao_paulo,per-pano,all,Q3 0.117-0.204,1489,,,,0.3357
T4,sao_paulo,2.3,all,Q3 0.118-0.206,1518,,,,0.3495
T4,sao_paulo,per-pano,all,Q4 0.204-1.662,1490,,,,0.3497
T4,sao_paulo,2.3,all,Q4 0.206-1.662,1519,,,,0.382
